Estructura,Metodo,N,Run,Tiempo_ns
DoublyWithTail,PushFront,10,0,211.0
DoublyWithTail,PushFront,10,1,200.0
DoublyWithTail,PushFront,10,2,177.66666666666666
DoublyWithTail,PushFront,10,3,188.66666666666666
DoublyWithTail,PushFront,10,4,1588.6666666666667
DoublyWithTail,PushFront,100,0,222.0
DoublyWithTail,PushFront,100,1,200.0
DoublyWithTail,PushFront,100,2,200.0
DoublyWithTail,PushFront,100,3,188.33333333333334
DoublyWithTail,PushFront,100,4,233.33333333333334
DoublyWithTail,PushFront,1000,0,99.66666666666667
DoublyWithTail,PushFront,1000,1,88.66666666666667
DoublyWithTail,PushFront,1000,2,133.33333333333334
DoublyWithTail,PushFront,1000,3,122.0
DoublyWithTail,PushFront,1000,4,100.0
DoublyWithTail,PushFront,10000,0,88.66666666666667
DoublyWithTail,PushFront,10000,1,111.0
DoublyWithTail,PushFront,10000,2,155.33333333333334
DoublyWithTail,PushFront,10000,3,122.0
DoublyWithTail,PushFront,10000,4,455.3333333333333
DoublyWithTail,PushFront,100000,0,33.0
DoublyWithTail,PushFront,100000,1,33.0
DoublyWithTail,PushFront,100000,2,0.0
DoublyWithTail,PushFront,100000,3,44.0
DoublyWithTail,PushFront,100000,4,44.0
DoublyWithTail,PushFront,1000000,0,155.33333333333334
DoublyWithTail,PushFront,1000000,1,2766.3333333333335
DoublyWithTail,PushFront,1000000,2,88.66666666666667
DoublyWithTail,PushFront,1000000,3,122.0
DoublyWithTail,PushFront,1000000,4,99.66666666666667
DoublyWithTail,PushFront,10000000,0,88.66666666666667
DoublyWithTail,PushFront,10000000,1,133.0
DoublyWithTail,PushFront,10000000,2,77.66666666666667
DoublyWithTail,PushFront,10000000,3,99.66666666666667
DoublyWithTail,PushFront,10000000,4,122.0
DoublyWithTail,PushFront,100000000,0,212.6666666666667
DoublyWithTail,PushFront,100000000,1,201.6666666666666
DoublyWithTail,PushFront,100000000,2,195.0
DoublyWithTail,PushFront,100000000,3,185.3333333333334
DoublyWithTail,PushFront,100000000,4,200.0
DoublyWithTail,PushBack,10,0,166.33333333333334
DoublyWithTail,PushBack,10,1,111.0
DoublyWithTail,PushBack,10,2,200.0
DoublyWithTail,PushBack,10,3,144.0
DoublyWithTail,PushBack,10,4,177.33333333333334
DoublyWithTail,PushBack,100,0,677.6666666666666
DoublyWithTail,PushBack,100,1,144.33333333333334
DoublyWithTail,PushBack,100,2,177.66666666666666
DoublyWithTail,PushBack,100,3,155.0
DoublyWithTail,PushBack,100,4,133.0
DoublyWithTail,PushBack,1000,0,177.33333333333334
DoublyWithTail,PushBack,1000,1,166.33333333333334
DoublyWithTail,PushBack,1000,2,133.0
DoublyWithTail,PushBack,1000,3,177.33333333333334
DoublyWithTail,PushBack,1000,4,133.0
DoublyWithTail,PushBack,10000,0,188.66666666666666
DoublyWithTail,PushBack,10000,1,344.0
DoublyWithTail,PushBack,10000,2,910.6666666666666
DoublyWithTail,PushBack,10000,3,299.6666666666667
DoublyWithTail,PushBack,10000,4,166.33333333333334
DoublyWithTail,PushBack,100000,0,77.33333333333333
DoublyWithTail,PushBack,100000,1,100.0
DoublyWithTail,PushBack,100000,2,1155.0
DoublyWithTail,PushBack,100000,3,55.333333333333336
DoublyWithTail,PushBack,100000,4,33.0
DoublyWithTail,PushBack,1000000,0,88.66666666666667
DoublyWithTail,PushBack,1000000,1,188.66666666666666
DoublyWithTail,PushBack,1000000,2,99.66666666666667
DoublyWithTail,PushBack,1000000,3,55.333333333333336
DoublyWithTail,PushBack,1000000,4,99.66666666666667
DoublyWithTail,PushBack,10000000,0,277.3333333333333
DoublyWithTail,PushBack,10000000,1,155.0
DoublyWithTail,PushBack,10000000,2,277.3333333333333
DoublyWithTail,PushBack,10000000,3,266.3333333333333
DoublyWithTail,PushBack,10000000,4,944.0
DoublyWithTail,PushBack,100000000,0,287.0
DoublyWithTail,PushBack,100000000,1,256.3333333333333
DoublyWithTail,PushBack,100000000,2,234.3333333333333
DoublyWithTail,PushBack,100000000,3,201.3333333333333
DoublyWithTail,PushBack,100000000,4,275.6666666666667
DoublyWithTail,PopFront,10,0,122.0
DoublyWithTail,PopFront,10,1,133.0
DoublyWithTail,PopFront,10,2,133.0
DoublyWithTail,PopFront,10,3,133.0
DoublyWithTail,PopFront,10,4,111.0
DoublyWithTail,PopFront,100,0,133.0
DoublyWithTail,PopFront,100,1,144.0
DoublyWithTail,PopFront,100,2,122.0
DoublyWithTail,PopFront,100,3,122.0
DoublyWithTail,PopFront,100,4,166.33333333333334
DoublyWithTail,PopFront,1000,0,122.0
DoublyWithTail,PopFront,1000,1,133.0
DoublyWithTail,PopFront,1000,2,133.0
DoublyWithTail,PopFront,1000,3,133.0
DoublyWithTail,PopFront,1000,4,155.0
DoublyWithTail,PopFront,10000,0,522.0
DoublyWithTail,PopFront,10000,1,122.0
DoublyWithTail,PopFront,10000,2,177.66666666666666
DoublyWithTail,PopFront,10000,3,110.66666666666667
DoublyWithTail,PopFront,10000,4,144.33333333333334
DoublyWithTail,PopFront,100000,0,955.3333333333334
DoublyWithTail,PopFront,100000,1,55.0
DoublyWithTail,PopFront,100000,2,22.0
DoublyWithTail,PopFront,100000,3,44.0
DoublyWithTail,PopFront,100000,4,66.33333333333333
