Estructura,Metodo,N,Run,TiempoPromedio_ns
SinglyWithTail,pushBack,100000,4,9.7316
SinglyWithTail,pushBack,100000,5,9.6980
SinglyWithTail,pushBack,100000,6,11.1796
SinglyWithTail,pushBack,1000000,0,9.6546
SinglyWithTail,pushBack,1000000,1,9.6511
SinglyWithTail,pushBack,1000000,2,10.6209
SinglyWithTail,pushBack,1000000,3,9.6322
SinglyWithTail,pushBack,1000000,4,9.6660
SinglyWithTail,pushBack,1000000,5,14.9682
SinglyWithTail,pushBack,1000000,6,15.1576
DoublyWithTail,pushBack,10,0,14.4444
DoublyWithTail,pushBack,10,1,11.1111
DoublyWithTail,pushBack,10,2,15.0000
DoublyWithTail,pushBack,10,3,11.6667
DoublyWithTail,pushBack,10,4,11.1111
DoublyWithTail,pushBack,10,5,13.3333
DoublyWithTail,pushBack,10,6,11.6667
DoublyWithTail,pushBack,100,0,12.9444
DoublyWithTail,pushBack,100,1,13.2778
DoublyWithTail,pushBack,100,2,10.7222
DoublyWithTail,pushBack,100,3,12.2222
DoublyWithTail,pushBack,100,4,13.1111
DoublyWithTail,pushBack,100,5,16.8889
DoublyWithTail,pushBack,100,6,11.1667
DoublyWithTail,pushBack,1000,0,18.1000
DoublyWithTail,pushBack,1000,1,22.4600
DoublyWithTail,pushBack,1000,2,14.8400
DoublyWithTail,pushBack,1000,3,15.2200
DoublyWithTail,pushBack,1000,4,15.0400
DoublyWithTail,pushBack,1000,5,15.4000
DoublyWithTail,pushBack,1000,6,25.7200
DoublyWithTail,pushBack,10000,0,17.1540
DoublyWithTail,pushBack,10000,1,14.3340
DoublyWithTail,pushBack,10000,2,15.9680
DoublyWithTail,pushBack,10000,3,16.1400
DoublyWithTail,pushBack,10000,4,17.8020
DoublyWithTail,pushBack,10000,5,20.4800
DoublyWithTail,pushBack,10000,6,21.4380
DoublyWithTail,pushBack,100000,0,15.0582
DoublyWithTail,pushBack,100000,1,15.2422
DoublyWithTail,pushBack,100000,2,15.1150
DoublyWithTail,pushBack,100000,3,14.7302
DoublyWithTail,pushBack,100000,4,15.1092
DoublyWithTail,pushBack,100000,5,14.7912
DoublyWithTail,pushBack,100000,6,15.0112
DoublyWithTail,pushBack,1000000,0,59.3272
DoublyWithTail,pushBack,1000000,1,9.9258
DoublyWithTail,pushBack,1000000,2,14.9311
DoublyWithTail,pushBack,1000000,3,10.1865
DoublyWithTail,pushBack,1000000,4,9.9369
DoublyWithTail,pushBack,1000000,5,14.1396
DoublyWithTail,pushBack,1000000,6,12.5957
StackArray,push,10,0,15.0000
StackArray,push,10,1,13.3333
StackArray,push,10,2,11.1111
StackArray,push,10,3,11.1111
StackArray,push,10,4,10.5556
StackArray,push,10,5,11.6667
StackArray,push,10,6,11.1111
StackArray,push,100,0,11.2222
StackArray,push,100,1,9.8889
StackArray,push,100,2,11.0000
StackArray,push,100,3,15.0000
StackArray,push,100,4,14.6667
StackArray,push,100,5,11.4444
StackArray,push,100,6,11.5556
StackArray,push,1000,0,10.5200
StackArray,push,1000,1,9.0200
StackArray,push,1000,2,10.0400
StackArray,push,1000,3,13.8000
StackArray,push,1000,4,10.8200
StackArray,push,1000,5,12.4600
StackArray,push,1000,6,13.5800
StackArray,push,10000,0,9.7960
StackArray,push,10000,1,13.1320
StackArray,push,10000,2,13.5240
StackArray,push,10000,3,12.1680
StackArray,push,10000,4,9.6640
StackArray,push,10000,5,12.8200
StackArray,push,10000,6,12.5340
StackArray,push,100000,0,11.3038
StackArray,push,100000,1,11.4656
StackArray,push,100000,2,11.8394
StackArray,push,100000,3,11.4972
StackArray,push,100000,4,11.0486
StackArray,push,100000,5,12.1924
StackArray,push,100000,6,12.3196
StackArray,push,1000000,0,11.3346
StackArray,push,1000000,1,11.2976
StackArray,push,1000000,2,10.6915
StackArray,push,1000000,3,12.7149
StackArray,push,1000000,4,13.1829
StackArray,push,1000000,5,12.7335
StackArray,push,1000000,6,14.0953
QueueArray,enqueue,10,0,16.6667
QueueArray,enqueue,10,1,13.8889
QueueArray,enqueue,10,2,12.7778
QueueArray,enqueue,10,3,12.7778
QueueArray,enqueue,10,4,13.3333
QueueArray,enqueue,10,5,15.5556
QueueArray,enqueue,10,6,13.3333
QueueArray,enqueue,100,0,12.8333
QueueArray,enqueue,100,1,12.5556
QueueArray,enqueue,100,2,19.2778
QueueArray,enqueue,100,3,21.3889
QueueArray,enqueue,100,4,21.0556
QueueArray,enqueue,100,5,21.7222
QueueArray,enqueue,100,6,11.2222
QueueArray,enqueue,1000,0,17.5200
QueueArray,enqueue,1000,1,15.9200
QueueArray,enqueue,1000,2,10.6000
QueueArray,enqueue,1000,3,10.3800
QueueArray,enqueue,1000,4,10.5400
QueueArray,enqueue,1000,5,10.3800
QueueArray,enqueue,1000,6,11.3400
QueueArray,enqueue,10000,0,11.3920
QueueArray,enqueue,10000,1,11.5080
QueueArray,enqueue,10000,2,11.0080
QueueArray,enqueue,10000,3,13.9360
QueueArray,enqueue,10000,4,12.7980
QueueArray,enqueue,10000,5,13.7120
QueueArray,enqueue,10000,6,13.3660
QueueArray,enqueue,100000,0,12.1204
QueueArray,enqueue,100000,1,41.4140
QueueArray,enqueue,100000,2,12.6796
QueueArray,enqueue,100000,3,11.6920
QueueArray,enqueue,100000,4,13.7372
QueueArray,enqueue,100000,5,11.8166
QueueArray,enqueue,100000,6,11.2424
QueueArray,enqueue,1000000,0,16.3269
QueueArray,enqueue,1000000,1,11.2104
QueueArray,enqueue,1000000,2,12.9816
QueueArray,enqueue,1000000,3,19.1975
QueueArray,enqueue,1000000,4,13.9305
QueueArray,enqueue,1000000,5,12.6002
QueueArray,enqueue,1000000,6,13.8842
