Estructura,Metodo,N,Run,Tiempo_ns
SinglyNoTail,PushFront,10,0,56.0
SinglyNoTail,PushFront,10,1,77.0
SinglyNoTail,PushFront,10,2,122.0
SinglyNoTail,PushFront,100,0,57.0
SinglyNoTail,PushFront,100,1,84.0
SinglyNoTail,PushFront,100,2,3114.0
SinglyNoTail,PushFront,1000,0,82.0
SinglyNoTail,PushFront,1000,1,60.0
SinglyNoTail,PushFront,1000,2,62.0
SinglyNoTail,PushFront,10000,0,52.0
SinglyNoTail,PushFront,10000,1,54.0
SinglyNoTail,PushFront,10000,2,50.0
SinglyNoTail,PushFront,100000,0,34.0
SinglyNoTail,PushFront,100000,1,80.0
SinglyNoTail,PushFront,100000,2,64.0
SinglyNoTail,PushFront,1000000,0,650.0
SinglyNoTail,PushFront,1000000,1,36.0
SinglyNoTail,PushFront,1000000,2,26.0
SinglyNoTail,PushFront,10000000,0,34.0
SinglyNoTail,PushFront,10000000,1,32.0
SinglyNoTail,PushFront,10000000,2,38.0
SinglyNoTail,PushFront,100000000,0,38.0
SinglyNoTail,PushFront,100000000,1,32.0
SinglyNoTail,PushFront,100000000,2,42.0
SinglyNoTail,PushBack,10,0,542.0
SinglyNoTail,PushBack,10,1,424.0
SinglyNoTail,PushBack,10,2,424.0
SinglyNoTail,PushBack,100,0,568.0
SinglyNoTail,PushBack,100,1,354.0
SinglyNoTail,PushBack,100,2,358.0
SinglyNoTail,PushBack,1000,0,1528.0
SinglyNoTail,PushBack,1000,1,1538.0
SinglyNoTail,PushBack,1000,2,1530.0
SinglyNoTail,PushBack,10000,0,12858.0
SinglyNoTail,PushBack,10000,1,13042.0
SinglyNoTail,PushBack,10000,2,12878.0
SinglyNoTail,PushBack,100000,0,161550.0
SinglyNoTail,PushBack,100000,1,146642.0
SinglyNoTail,PushBack,100000,2,127700.0
SinglyNoTail,PushBack,1000000,0,2147900.0
SinglyNoTail,PushBack,1000000,1,2125664.0
SinglyNoTail,PushBack,1000000,2,2119118.0
SinglyNoTail,PushBack,10000000,0,2.8802984E7
SinglyNoTail,PushBack,10000000,1,2.3740786E7
SinglyNoTail,PushBack,10000000,2,1.9674494E7
SinglyNoTail,PushBack,100000000,0,2.03864434E8
SinglyNoTail,PushBack,100000000,1,2.01086782E8
SinglyNoTail,PushBack,100000000,2,2.04647762E8
SinglyNoTail,PopFront,10,0,110.0
SinglyNoTail,PopFront,10,1,76.0
SinglyNoTail,PopFront,10,2,74.0
SinglyNoTail,PopFront,100,0,110.0
SinglyNoTail,PopFront,100,1,88.0
SinglyNoTail,PopFront,100,2,208.0
SinglyNoTail,PopFront,1000,0,50.0
SinglyNoTail,PopFront,1000,1,56.0
SinglyNoTail,PopFront,1000,2,54.0
SinglyNoTail,PopFront,10000,0,26.0
SinglyNoTail,PopFront,10000,1,28.0
SinglyNoTail,PopFront,10000,2,24.0
SinglyNoTail,PopFront,100000,0,24.0
SinglyNoTail,PopFront,100000,1,20.0
SinglyNoTail,PopFront,100000,2,28.0
SinglyNoTail,PopFront,1000000,0,158.0
SinglyNoTail,PopFront,1000000,1,132.0
SinglyNoTail,PopFront,1000000,2,16.0
SinglyNoTail,PopFront,10000000,0,62.0
SinglyNoTail,PopFront,10000000,1,18.0
SinglyNoTail,PopFront,10000000,2,186.0
SinglyNoTail,PopFront,100000000,0,99.0
SinglyNoTail,PopFront,100000000,1,112.0
SinglyNoTail,PopFront,100000000,2,162.0
SinglyNoTail,PopBack,10,0,120.0
SinglyNoTail,PopBack,10,1,68.0
SinglyNoTail,PopBack,10,2,70.0
SinglyNoTail,PopBack,100,0,858.0
SinglyNoTail,PopBack,100,1,396.0
SinglyNoTail,PopBack,100,2,282.0
SinglyNoTail,PopBack,1000,0,1382.0
SinglyNoTail,PopBack,1000,1,1384.0
SinglyNoTail,PopBack,1000,2,1558.0
SinglyNoTail,PopBack,10000,0,12688.0
SinglyNoTail,PopBack,10000,1,12308.0
SinglyNoTail,PopBack,10000,2,13148.0
SinglyNoTail,PopBack,100000,0,147662.0
SinglyNoTail,PopBack,100000,1,134152.0
SinglyNoTail,PopBack,100000,2,125854.0
SinglyNoTail,PopBack,1000000,0,2215150.0
SinglyNoTail,PopBack,1000000,1,2165812.0
SinglyNoTail,PopBack,1000000,2,5121802.0
SinglyNoTail,PopBack,10000000,0,2.3199788E7
SinglyNoTail,PopBack,10000000,1,2.862502E7
SinglyNoTail,PopBack,10000000,2,3.080581E7
