Estructura,Metodo,N,Run,Tiempo_ns
DoublyNoTail,PopBack,10,0,144.33333333333334
DoublyNoTail,PopBack,10,1,144.33333333333334
DoublyNoTail,PopBack,10,2,144.33333333333334
DoublyNoTail,PopBack,10,3,155.33333333333334
DoublyNoTail,PopBack,10,4,1499.6666666666667
DoublyNoTail,PopBack,100,0,1077.3333333333333
DoublyNoTail,PopBack,100,1,1177.3333333333333
DoublyNoTail,PopBack,100,2,1099.6666666666667
DoublyNoTail,PopBack,100,3,4588.666666666667
DoublyNoTail,PopBack,100,4,1077.6666666666667
DoublyNoTail,PopBack,1000,0,2000.0
DoublyNoTail,PopBack,1000,1,2033.0
DoublyNoTail,PopBack,1000,2,2011.0
DoublyNoTail,PopBack,1000,3,2466.3333333333335
DoublyNoTail,PopBack,1000,4,2000.0
DoublyNoTail,PopBack,10000,0,42788.333333333336
DoublyNoTail,PopBack,10000,1,15044.333333333334
DoublyNoTail,PopBack,10000,2,13755.333333333334
DoublyNoTail,PopBack,10000,3,13366.333333333334
DoublyNoTail,PopBack,10000,4,14499.333333333334
DoublyNoTail,PopBack,100000,0,173244.0
DoublyNoTail,PopBack,100000,1,174877.33333333334
DoublyNoTail,PopBack,100000,2,185088.66666666666
DoublyNoTail,PopBack,100000,3,149655.33333333334
DoublyNoTail,PopBack,100000,4,217099.66666666666
DoublyNoTail,PopBack,1000000,0,2682177.6666666665
DoublyNoTail,PopBack,1000000,1,5277588.666666667
DoublyNoTail,PopBack,1000000,2,3004166.3333333335
DoublyNoTail,PopBack,1000000,3,3058410.6666666665
DoublyNoTail,PopBack,1000000,4,4094410.6666666665
DoublyNoTail,PopBack,10000000,0,4.7239355E7
DoublyNoTail,PopBack,10000000,1,5.3212522E7
DoublyNoTail,PopBack,10000000,2,5.0532211E7
DoublyNoTail,PopBack,10000000,3,5.3350366333333336E7
DoublyNoTail,PopBack,10000000,4,5.8664355333333336E7
DoublyNoTail,PopBack,100000000,0,5.17437955E8
DoublyNoTail,PopBack,100000000,1,5.26213122E8
DoublyNoTail,PopBack,100000000,2,5.207090886666667E8
DoublyNoTail,PopBack,100000000,3,5.350934663333333E8
DoublyNoTail,PopBack,100000000,4,5.334420886666667E8
DoublyNoTail,PushFront,10,0,88.66666666666667
DoublyNoTail,PushFront,10,1,100.0
DoublyNoTail,PushFront,10,2,100.0
DoublyNoTail,PushFront,10,3,77.33333333333333
DoublyNoTail,PushFront,10,4,100.0
DoublyNoTail,PushFront,100,0,111.0
DoublyNoTail,PushFront,100,1,111.0
DoublyNoTail,PushFront,100,2,111.0
DoublyNoTail,PushFront,100,3,122.0
DoublyNoTail,PushFront,100,4,122.0
DoublyNoTail,PushFront,1000,0,322.0
DoublyNoTail,PushFront,1000,1,288.6666666666667
DoublyNoTail,PushFront,1000,2,122.0
DoublyNoTail,PushFront,1000,3,122.0
DoublyNoTail,PushFront,1000,4,133.0
DoublyNoTail,PushFront,10000,0,110.66666666666667
DoublyNoTail,PushFront,10000,1,99.66666666666667
DoublyNoTail,PushFront,10000,2,221.66666666666666
DoublyNoTail,PushFront,10000,3,233.33333333333334
DoublyNoTail,PushFront,10000,4,99.33333333333333
DoublyNoTail,PushFront,100000,0,110.66666666666667
DoublyNoTail,PushFront,100000,1,99.66666666666667
DoublyNoTail,PushFront,100000,2,1444.0
DoublyNoTail,PushFront,100000,3,33.0
DoublyNoTail,PushFront,100000,4,44.0
DoublyNoTail,PushFront,1000000,0,110.66666666666667
DoublyNoTail,PushFront,1000000,1,77.33333333333333
DoublyNoTail,PushFront,1000000,2,44.333333333333336
DoublyNoTail,PushFront,1000000,3,88.33333333333333
DoublyNoTail,PushFront,1000000,4,55.333333333333336
DoublyNoTail,PushFront,10000000,0,166.33333333333334
DoublyNoTail,PushFront,10000000,1,155.33333333333334
DoublyNoTail,PushFront,10000000,2,122.0
DoublyNoTail,PushFront,10000000,3,88.33333333333333
DoublyNoTail,PushFront,10000000,4,1110.6666666666667
DoublyNoTail,PushFront,100000000,0,899.6666666666666
DoublyNoTail,PushFront,100000000,1,175.0
DoublyNoTail,PushFront,100000000,2,122.3333333333333
DoublyNoTail,PushFront,100000000,3,233.6666666666666
DoublyNoTail,PushFront,100000000,4,174.6666666666666
DoublyNoTail,PushBack,10,0,299.6666666666667
DoublyNoTail,PushBack,10,1,322.0
DoublyNoTail,PushBack,10,2,322.0
DoublyNoTail,PushBack,10,3,288.6666666666667
DoublyNoTail,PushBack,10,4,299.6666666666667
DoublyNoTail,PushBack,100,0,1166.3333333333333
DoublyNoTail,PushBack,100,1,1133.0
DoublyNoTail,PushBack,100,2,1144.3333333333333
DoublyNoTail,PushBack,100,3,1322.0
DoublyNoTail,PushBack,100,4,1133.0
DoublyNoTail,PushBack,1000,0,1555.3333333333333
DoublyNoTail,PushBack,1000,1,1522.0
DoublyNoTail,PushBack,1000,2,1577.6666666666667
DoublyNoTail,PushBack,1000,3,1899.6666666666667
DoublyNoTail,PushBack,1000,4,1577.3333333333333
DoublyNoTail,PushBack,10000,0,18866.333333333332
DoublyNoTail,PushBack,10000,1,22688.666666666668
DoublyNoTail,PushBack,10000,2,35166.0
DoublyNoTail,PushBack,10000,3,34232.666666666664
DoublyNoTail,PushBack,10000,4,35399.666666666664
DoublyNoTail,PushBack,100000,0,198210.66666666666
DoublyNoTail,PushBack,100000,1,220833.0
DoublyNoTail,PushBack,100000,2,234033.0
DoublyNoTail,PushBack,100000,3,204033.33333333334
DoublyNoTail,PushBack,100000,4,251755.33333333334
DoublyNoTail,PushBack,1000000,0,2648521.6666666665
DoublyNoTail,PushBack,1000000,1,3300010.6666666665
DoublyNoTail,PushBack,1000000,2,2671011.0
DoublyNoTail,PushBack,1000000,3,2609899.6666666665
DoublyNoTail,PushBack,1000000,4,2711777.3333333335
DoublyNoTail,PushBack,10000000,0,4.1617788666666664E7
DoublyNoTail,PushBack,10000000,1,2.6526388666666668E7
DoublyNoTail,PushBack,10000000,2,6.3717711E7
DoublyNoTail,PushBack,10000000,3,2.7134322E7
DoublyNoTail,PushBack,10000000,4,3.2532366333333332E7
DoublyNoTail,PushBack,100000000,0,5.549442553333334E8
DoublyNoTail,PushBack,100000000,1,5.517485106666666E8
DoublyNoTail,PushBack,100000000,2,5.201614886666667E8
DoublyNoTail,PushBack,100000000,3,5.327462663333333E8
DoublyNoTail,PushBack,100000000,4,5.383814883333334E8
DoublyNoTail,PopFront,10,0,133.0
DoublyNoTail,PopFront,10,1,111.0
DoublyNoTail,PopFront,10,2,111.0
DoublyNoTail,PopFront,10,3,111.0
DoublyNoTail,PopFront,10,4,111.0
DoublyNoTail,PopFront,100,0,144.0
DoublyNoTail,PopFront,100,1,133.0
DoublyNoTail,PopFront,100,2,144.0
DoublyNoTail,PopFront,100,3,122.0
DoublyNoTail,PopFront,100,4,133.0
DoublyNoTail,PopFront,1000,0,66.66666666666667
DoublyNoTail,PopFront,1000,1,100.0
DoublyNoTail,PopFront,1000,2,111.0
DoublyNoTail,PopFront,1000,3,11.0
DoublyNoTail,PopFront,1000,4,88.66666666666667
DoublyNoTail,PopFront,10000,0,122.0
DoublyNoTail,PopFront,10000,1,133.0
DoublyNoTail,PopFront,10000,2,122.0
DoublyNoTail,PopFront,10000,3,110.66666666666667
DoublyNoTail,PopFront,10000,4,122.0
DoublyNoTail,PopFront,100000,0,677.3333333333334
DoublyNoTail,PopFront,100000,1,33.0
DoublyNoTail,PopFront,100000,2,55.333333333333336
DoublyNoTail,PopFront,100000,3,33.0
DoublyNoTail,PopFront,100000,4,11.0
DoublyNoTail,PopFront,1000000,0,155.33333333333334
DoublyNoTail,PopFront,1000000,1,144.33333333333334
