Estructura,Metodo,N,Run,Tiempo_ns
SinglyWithTail,Find,100000000,2,1.16067788E8
SinglyWithTail,Erase,10,0,236.0
SinglyWithTail,Erase,10,1,200.0
SinglyWithTail,Erase,10,2,196.0
SinglyWithTail,Erase,100,0,460.0
SinglyWithTail,Erase,100,1,446.0
SinglyWithTail,Erase,100,2,530.0
SinglyWithTail,Erase,1000,0,5008.0
SinglyWithTail,Erase,1000,1,4912.0
SinglyWithTail,Erase,1000,2,4078.0
SinglyWithTail,Erase,10000,0,10210.0
SinglyWithTail,Erase,10000,1,10480.0
SinglyWithTail,Erase,10000,2,10402.0
SinglyWithTail,Erase,100000,0,168320.0
SinglyWithTail,Erase,100000,1,141816.0
SinglyWithTail,Erase,100000,2,130620.0
SinglyWithTail,Erase,1000000,0,1936888.0
SinglyWithTail,Erase,1000000,1,1926378.0
SinglyWithTail,Erase,1000000,2,1922380.0
SinglyWithTail,Erase,10000000,0,2.12394E7
SinglyWithTail,Erase,10000000,1,2.152033E7
SinglyWithTail,Erase,10000000,2,1.639867E7
SinglyWithTail,Erase,100000000,0,1.82413774E8
SinglyWithTail,Erase,100000000,1,1.86738678E8
SinglyWithTail,Erase,100000000,2,1.85195994E8
SinglyWithTail,AddBefore,10,0,368.0
SinglyWithTail,AddBefore,10,1,310.0
SinglyWithTail,AddBefore,10,2,308.0
SinglyWithTail,AddBefore,100,0,1574.0
SinglyWithTail,AddBefore,100,1,1466.0
SinglyWithTail,AddBefore,100,2,280.0
SinglyWithTail,AddBefore,1000,0,1944.0
SinglyWithTail,AddBefore,1000,1,1936.0
SinglyWithTail,AddBefore,1000,2,1950.0
SinglyWithTail,AddBefore,10000,0,33632.0
SinglyWithTail,AddBefore,10000,1,14868.0
SinglyWithTail,AddBefore,10000,2,7216.0
SinglyWithTail,AddBefore,100000,0,105866.0
SinglyWithTail,AddBefore,100000,1,87502.0
SinglyWithTail,AddBefore,100000,2,81380.0
SinglyWithTail,AddBefore,1000000,0,1642294.0
SinglyWithTail,AddBefore,1000000,1,1091460.0
SinglyWithTail,AddBefore,1000000,2,1097538.0
SinglyWithTail,AddBefore,10000000,0,1.099E7
SinglyWithTail,AddBefore,10000000,1,1.1869964E7
SinglyWithTail,AddBefore,10000000,2,1.0752678E7
SinglyWithTail,AddBefore,100000000,0,1.4089174E8
SinglyWithTail,AddBefore,100000000,1,1.34128942E8
SinglyWithTail,AddBefore,100000000,2,1.33865488E8
SinglyWithTail,AddAfter,10,0,160.0
SinglyWithTail,AddAfter,10,1,138.0
SinglyWithTail,AddAfter,10,2,146.0
SinglyWithTail,AddAfter,100,0,240.0
SinglyWithTail,AddAfter,100,1,206.0
SinglyWithTail,AddAfter,100,2,202.0
SinglyWithTail,AddAfter,1000,0,1216.0
SinglyWithTail,AddAfter,1000,1,872.0
SinglyWithTail,AddAfter,1000,2,878.0
SinglyWithTail,AddAfter,10000,0,6958.0
SinglyWithTail,AddAfter,10000,1,6692.0
SinglyWithTail,AddAfter,10000,2,7180.0
SinglyWithTail,AddAfter,100000,0,101556.0
SinglyWithTail,AddAfter,100000,1,97502.0
SinglyWithTail,AddAfter,100000,2,87536.0
SinglyWithTail,AddAfter,1000000,0,1116224.0
SinglyWithTail,AddAfter,1000000,1,1082850.0
SinglyWithTail,AddAfter,1000000,2,1080966.0
SinglyWithTail,AddAfter,10000000,0,1.0610372E7
SinglyWithTail,AddAfter,10000000,1,1.5230158E7
SinglyWithTail,AddAfter,10000000,2,1.4301828E7
SinglyWithTail,AddAfter,100000000,0,1.11838592E8
SinglyWithTail,AddAfter,100000000,1,1.34909546E8
SinglyWithTail,AddAfter,100000000,2,1.34684152E8
