Estructura,Metodo,N,Run,Tiempo_ns
MyQueue,deleteQueue,10,0,1110.6666666666667
MyQueue,deleteQueue,10,1,610.6666666666666
MyQueue,deleteQueue,10,2,821.6666666666666
MyQueue,deleteQueue,10,3,611.0
MyQueue,deleteQueue,10,4,2144.3333333333335
MyQueue,deleteQueue,100,0,3677.3333333333335
MyQueue,deleteQueue,100,1,3577.3333333333335
MyQueue,deleteQueue,100,2,3655.3333333333335
MyQueue,deleteQueue,100,3,3822.0
MyQueue,deleteQueue,100,4,3966.3333333333335
MyQueue,deleteQueue,1000,0,8988.333333333334
MyQueue,deleteQueue,1000,1,5833.0
MyQueue,deleteQueue,1000,2,4544.0
MyQueue,deleteQueue,1000,3,4133.0
MyQueue,deleteQueue,1000,4,3855.3333333333335
MyQueue,deleteQueue,10000,0,37499.666666666664
MyQueue,deleteQueue,10000,1,36899.666666666664
MyQueue,deleteQueue,10000,2,38088.666666666664
MyQueue,deleteQueue,10000,3,53599.666666666664
MyQueue,deleteQueue,10000,4,53855.333333333336
MyQueue,deleteQueue,100000,0,227999.66666666666
MyQueue,deleteQueue,100000,1,174533.0
MyQueue,deleteQueue,100000,2,172277.33333333334
MyQueue,deleteQueue,100000,3,173733.33333333334
MyQueue,deleteQueue,100000,4,172744.0
MyQueue,deleteQueue,1000000,0,1847844.0
MyQueue,deleteQueue,1000000,1,1779766.0
MyQueue,deleteQueue,1000000,2,1762088.6666666667
MyQueue,deleteQueue,1000000,3,1751633.0
MyQueue,deleteQueue,1000000,4,1778622.0
MyQueue,deleteQueue,10000000,0,1.9639510666666668E7
MyQueue,deleteQueue,10000000,1,1.8961821666666668E7
MyQueue,deleteQueue,10000000,2,1.8097021666666668E7
MyQueue,deleteQueue,10000000,3,2.2463055333333332E7
MyQueue,deleteQueue,10000000,4,2.2036510666666668E7
MyQueue,deleteQueue,100000000,0,1.9220015533333334E8
MyQueue,deleteQueue,100000000,1,2.0355899966666666E8
MyQueue,deleteQueue,100000000,2,2.3283978833333334E8
MyQueue,deleteQueue,100000000,3,1.9155642166666666E8
MyQueue,deleteQueue,100000000,4,1.89260611E8
MyQueue,enqueue,10,0,99.66666666666667
MyQueue,enqueue,10,1,115.0
MyQueue,enqueue,10,2,128.0
MyQueue,enqueue,10,3,77.33333333333333
MyQueue,enqueue,10,4,77.33333333333333
MyQueue,enqueue,100,0,88.66666666666667
MyQueue,enqueue,100,1,175.0
MyQueue,enqueue,100,2,151.0
MyQueue,enqueue,100,3,101.0
MyQueue,enqueue,100,4,99.66666666666667
MyQueue,enqueue,1000,0,100.0
MyQueue,enqueue,1000,1,99.66666666666667
MyQueue,enqueue,1000,2,111.0
MyQueue,enqueue,1000,3,111.0
MyQueue,enqueue,1000,4,100.0
MyQueue,enqueue,10000,0,157.0
MyQueue,enqueue,10000,1,103.0
MyQueue,enqueue,10000,2,88.66666666666667
MyQueue,enqueue,10000,3,111.0
MyQueue,enqueue,10000,4,88.66666666666667
MyQueue,enqueue,100000,0,55.333333333333336
MyQueue,enqueue,100000,1,66.66666666666667
MyQueue,enqueue,100000,2,799.6666666666666
MyQueue,enqueue,100000,3,11.0
MyQueue,enqueue,100000,4,44.0
MyQueue,enqueue,1000000,0,0.0
MyQueue,enqueue,1000000,1,0.0
MyQueue,enqueue,1000000,2,55.0
MyQueue,enqueue,1000000,3,44.0
MyQueue,enqueue,1000000,4,55.0
MyQueue,enqueue,10000000,0,44.0
MyQueue,enqueue,10000000,1,55.0
MyQueue,enqueue,10000000,2,11.0
MyQueue,enqueue,10000000,3,33.0
MyQueue,enqueue,10000000,4,99.66666666666667
MyQueue,enqueue,100000000,0,155.0
MyQueue,enqueue,100000000,1,88.33333333333333
MyQueue,enqueue,100000000,2,55.333333333333336
MyQueue,enqueue,100000000,3,66.33333333333333
MyQueue,enqueue,100000000,4,77.33333333333333
MyQueue,dequeue,10,0,111.0
MyQueue,dequeue,10,1,122.0
MyQueue,dequeue,10,2,111.0
MyQueue,dequeue,10,3,100.0
MyQueue,dequeue,10,4,100.0
MyQueue,dequeue,100,0,100.0
MyQueue,dequeue,100,1,125.0
MyQueue,dequeue,100,2,108.0
MyQueue,dequeue,100,3,100.0
MyQueue,dequeue,100,4,133.33333333333334
MyQueue,dequeue,1000,0,111.0
MyQueue,dequeue,1000,1,100.0
MyQueue,dequeue,1000,2,111.0
MyQueue,dequeue,1000,3,111.0
MyQueue,dequeue,1000,4,88.33333333333333
MyQueue,dequeue,10000,0,88.66666666666667
MyQueue,dequeue,10000,1,111.0
MyQueue,dequeue,10000,2,111.0
MyQueue,dequeue,10000,3,88.66666666666667
MyQueue,dequeue,10000,4,88.66666666666667
MyQueue,dequeue,100000,0,488.6666666666667
MyQueue,dequeue,100000,1,33.0
MyQueue,dequeue,100000,2,0.0
MyQueue,dequeue,100000,3,44.0
MyQueue,dequeue,100000,4,44.0
MyQueue,dequeue,1000000,0,66.33333333333333
MyQueue,dequeue,1000000,1,33.333333333333336
MyQueue,dequeue,1000000,2,55.333333333333336
MyQueue,dequeue,1000000,3,99.66666666666667
MyQueue,dequeue,1000000,4,33.333333333333336
MyQueue,dequeue,10000000,0,99.66666666666667
MyQueue,dequeue,10000000,1,77.33333333333333
MyQueue,dequeue,10000000,2,110.66666666666667
MyQueue,dequeue,10000000,3,88.66666666666667
MyQueue,dequeue,10000000,4,88.66666666666667
MyQueue,dequeue,100000000,0,99.6666666666666
MyQueue,dequeue,100000000,1,101.6666666666667
MyQueue,dequeue,100000000,2,122.0
MyQueue,dequeue,100000000,3,99.0
MyQueue,dequeue,100000000,4,89.0
MyQueue,front,10,0,100.0
MyQueue,front,10,1,11.0
MyQueue,front,10,2,100.0
MyQueue,front,10,3,0.0
MyQueue,front,10,4,100.0
MyQueue,front,100,0,100.0
MyQueue,front,100,1,111.0
MyQueue,front,100,2,100.0
MyQueue,front,100,3,111.0
MyQueue,front,100,4,100.0
MyQueue,front,1000,0,99.66666666666667
MyQueue,front,1000,1,122.0
MyQueue,front,1000,2,111.0
MyQueue,front,1000,3,111.0
MyQueue,front,1000,4,111.0
MyQueue,front,10000,0,111.0
MyQueue,front,10000,1,88.66666666666667
MyQueue,front,10000,2,122.0
MyQueue,front,10000,3,111.0
MyQueue,front,10000,4,377.6666666666667
MyQueue,front,100000,0,199.66666666666666
MyQueue,front,100000,1,44.0
MyQueue,front,100000,2,44.0
MyQueue,front,100000,3,33.0
MyQueue,front,100000,4,44.0
MyQueue,front,1000000,0,155.33333333333334
MyQueue,front,1000000,1,88.66666666666667
MyQueue,front,1000000,2,66.33333333333333
MyQueue,front,1000000,3,66.66666666666667
MyQueue,front,1000000,4,55.333333333333336
MyQueue,front,10000000,0,111.0
MyQueue,front,10000000,1,188.33333333333334
MyQueue,front,10000000,2,122.0
MyQueue,front,10000000,3,722.0
MyQueue,front,10000000,4,799.6666666666666
MyQueue,front,100000000,0,129.3333333333333
MyQueue,front,100000000,1,135.3333333333334
MyQueue,front,100000000,2,110.0
MyQueue,front,100000000,3,55.6666666666666
MyQueue,front,100000000,4,144.6666666666666
