Estructura,Metodo,N,Run,Tiempo_ns
MyStack,push,10,0,144.33333333333334
MyStack,push,10,1,166.33333333333334
MyStack,push,10,2,133.0
MyStack,push,10,3,155.33333333333334
MyStack,push,10,4,1933.0
MyStack,push,100,0,244.0
MyStack,push,100,1,233.0
MyStack,push,100,2,199.33333333333334
MyStack,push,100,3,222.0
MyStack,push,100,4,177.33333333333334
MyStack,push,1000,0,188.66666666666666
MyStack,push,1000,1,210.66666666666666
MyStack,push,1000,2,188.66666666666666
MyStack,push,1000,3,210.66666666666666
MyStack,push,1000,4,177.66666666666666
MyStack,push,10000,0,199.33333333333334
MyStack,push,10000,1,188.33333333333334
MyStack,push,10000,2,210.66666666666666
MyStack,push,10000,3,199.66666666666666
MyStack,push,10000,4,533.3333333333334
MyStack,push,100000,0,1488.6666666666667
MyStack,push,100000,1,77.33333333333333
MyStack,push,100000,2,66.33333333333333
MyStack,push,100000,3,55.333333333333336
MyStack,push,100000,4,33.0
MyStack,push,1000000,0,44.333333333333336
MyStack,push,1000000,1,77.33333333333333
MyStack,push,1000000,2,511.0
MyStack,push,1000000,3,77.33333333333333
MyStack,push,1000000,4,88.33333333333333
MyStack,push,10000000,0,66.33333333333333
MyStack,push,10000000,1,55.333333333333336
MyStack,push,10000000,2,44.333333333333336
MyStack,push,10000000,3,88.33333333333333
MyStack,push,10000000,4,88.66666666666667
MyStack,push,100000000,0,477.6666666666667
MyStack,push,100000000,1,77.33333333333333
MyStack,push,100000000,2,44.0
MyStack,push,100000000,3,77.33333333333333
MyStack,push,100000000,4,22.0
MyStack,pop,10,0,122.0
MyStack,pop,10,1,133.0
MyStack,pop,10,2,133.0
MyStack,pop,10,3,133.0
MyStack,pop,10,4,133.0
MyStack,pop,100,0,133.0
MyStack,pop,100,1,122.0
MyStack,pop,100,2,122.0
MyStack,pop,100,3,144.0
MyStack,pop,100,4,133.0
MyStack,pop,1000,0,155.33333333333334
MyStack,pop,1000,1,144.33333333333334
MyStack,pop,1000,2,122.0
MyStack,pop,1000,3,144.33333333333334
MyStack,pop,1000,4,111.0
MyStack,pop,10000,0,188.66666666666666
MyStack,pop,10000,1,222.0
MyStack,pop,10000,2,155.33333333333334
MyStack,pop,10000,3,133.33333333333334
MyStack,pop,10000,4,144.33333333333334
MyStack,pop,100000,0,44.0
MyStack,pop,100000,1,77.33333333333333
MyStack,pop,100000,2,22.0
MyStack,pop,100000,3,55.0
MyStack,pop,100000,4,0.0
MyStack,pop,1000000,0,66.66666666666667
MyStack,pop,1000000,1,100.0
MyStack,pop,1000000,2,99.66666666666667
MyStack,pop,1000000,3,88.33333333333333
MyStack,pop,1000000,4,77.33333333333333
MyStack,pop,10000000,0,766.3333333333334
MyStack,pop,10000000,1,722.0
MyStack,pop,10000000,2,88.66666666666667
MyStack,pop,10000000,3,877.3333333333334
MyStack,pop,10000000,4,699.6666666666666
MyStack,pop,100000000,0,1066.3333333333333
MyStack,pop,100000000,1,777.3333333333334
MyStack,pop,100000000,2,855.3333333333334
MyStack,pop,100000000,3,610.6666666666666
MyStack,pop,100000000,4,922.0
MyStack,peek,10,0,111.0
MyStack,peek,10,1,100.0
MyStack,peek,10,2,111.0
MyStack,peek,10,3,177.33333333333334
MyStack,peek,10,4,111.0
MyStack,peek,100,0,133.0
MyStack,peek,100,1,133.0
MyStack,peek,100,2,122.0
MyStack,peek,100,3,111.0
MyStack,peek,100,4,111.0
MyStack,peek,1000,0,133.0
MyStack,peek,1000,1,133.0
MyStack,peek,1000,2,122.0
MyStack,peek,1000,3,133.0
MyStack,peek,1000,4,133.0
MyStack,peek,10000,0,122.0
MyStack,peek,10000,1,111.0
MyStack,peek,10000,2,133.0
MyStack,peek,10000,3,88.66666666666667
MyStack,peek,10000,4,110.66666666666667
MyStack,peek,100000,0,110.66666666666667
MyStack,peek,100000,1,266.3333333333333
MyStack,peek,100000,2,166.66666666666666
MyStack,peek,100000,3,600.0
MyStack,peek,100000,4,133.33333333333334
MyStack,peek,1000000,0,1288.6666666666667
MyStack,peek,1000000,1,900.0
MyStack,peek,1000000,2,1022.0
MyStack,peek,1000000,3,811.0
MyStack,peek,1000000,4,1199.6666666666667
MyStack,peek,10000000,0,2588.3333333333335
MyStack,peek,10000000,1,744.0
MyStack,peek,10000000,2,566.6666666666666
MyStack,peek,10000000,3,66.66666666666667
MyStack,peek,10000000,4,177.66666666666666
MyStack,peek,100000000,0,710.6666666666666
MyStack,peek,100000000,1,799.6666666666666
MyStack,peek,100000000,2,699.6666666666666
MyStack,peek,100000000,3,766.3333333333334
MyStack,peek,100000000,4,711.0
MyStack,deleteStack,10,0,755.3333333333334
MyStack,deleteStack,10,1,1000.0
MyStack,deleteStack,10,2,722.0
MyStack,deleteStack,10,3,788.6666666666666
MyStack,deleteStack,10,4,722.0
MyStack,deleteStack,100,0,3688.6666666666665
MyStack,deleteStack,100,1,3688.6666666666665
MyStack,deleteStack,100,2,4133.0
MyStack,deleteStack,100,3,4222.0
MyStack,deleteStack,100,4,4444.333333333333
MyStack,deleteStack,1000,0,4766.666666666667
MyStack,deleteStack,1000,1,5955.333333333333
MyStack,deleteStack,1000,2,4833.0
MyStack,deleteStack,1000,3,4733.0
MyStack,deleteStack,1000,4,4733.0
MyStack,deleteStack,10000,0,46133.0
MyStack,deleteStack,10000,1,46444.0
MyStack,deleteStack,10000,2,48510.666666666664
MyStack,deleteStack,10000,3,46199.666666666664
MyStack,deleteStack,10000,4,45999.333333333336
MyStack,deleteStack,100000,0,289988.3333333333
MyStack,deleteStack,100000,1,203422.0
MyStack,deleteStack,100000,2,197777.33333333334
MyStack,deleteStack,100000,3,186466.33333333334
MyStack,deleteStack,100000,4,172966.66666666666
MyStack,deleteStack,1000000,0,1556788.6666666667
MyStack,deleteStack,1000000,1,1529933.0
MyStack,deleteStack,1000000,2,1524366.0
MyStack,deleteStack,1000000,3,1643055.3333333333
MyStack,deleteStack,1000000,4,1266777.6666666667
MyStack,deleteStack,10000000,0,1.2749121666666666E7
MyStack,deleteStack,10000000,1,1.3049744E7
MyStack,deleteStack,10000000,2,1.1949044E7
MyStack,deleteStack,10000000,3,1.2013699666666666E7
MyStack,deleteStack,10000000,4,1.2525244E7
MyStack,deleteStack,100000000,0,1.7570446666666666E8
MyStack,deleteStack,100000000,1,1.1689837766666667E8
MyStack,deleteStack,100000000,2,1.7330966633333334E8
MyStack,deleteStack,100000000,3,1.2883906633333333E8
MyStack,deleteStack,100000000,4,1.85074233E8
