Estructura,Metodo,N,Run,Tiempo_ns
SinglyWithTail,PushBack,10,0,144.0
SinglyWithTail,PushBack,10,1,122.0
SinglyWithTail,PushBack,10,2,111.0
SinglyWithTail,PushBack,10,3,122.0
SinglyWithTail,PushBack,10,4,1666.3333333333333
SinglyWithTail,PushBack,100,0,222.0
SinglyWithTail,PushBack,100,1,200.0
SinglyWithTail,PushBack,100,2,199.66666666666666
SinglyWithTail,PushBack,100,3,188.66666666666666
SinglyWithTail,PushBack,100,4,177.66666666666666
SinglyWithTail,PushBack,1000,0,144.33333333333334
SinglyWithTail,PushBack,1000,1,155.33333333333334
SinglyWithTail,PushBack,1000,2,122.0
SinglyWithTail,PushBack,1000,3,133.0
SinglyWithTail,PushBack,1000,4,133.0
SinglyWithTail,PushBack,10000,0,144.33333333333334
SinglyWithTail,PushBack,10000,1,133.33333333333334
SinglyWithTail,PushBack,10000,2,155.33333333333334
SinglyWithTail,PushBack,10000,3,144.33333333333334
SinglyWithTail,PushBack,10000,4,466.3333333333333
SinglyWithTail,PushBack,100000,0,544.3333333333334
SinglyWithTail,PushBack,100000,1,44.333333333333336
SinglyWithTail,PushBack,100000,2,44.333333333333336
SinglyWithTail,PushBack,100000,3,33.0
SinglyWithTail,PushBack,100000,4,33.0
SinglyWithTail,PushBack,1000000,0,4044.0
SinglyWithTail,PushBack,1000000,1,1144.0
SinglyWithTail,PushBack,1000000,2,166.66666666666666
SinglyWithTail,PushBack,1000000,3,188.33333333333334
SinglyWithTail,PushBack,1000000,4,133.0
SinglyWithTail,PushBack,10000000,0,233.0
SinglyWithTail,PushBack,10000000,1,177.33333333333334
SinglyWithTail,PushBack,10000000,2,221.66666666666666
SinglyWithTail,PushBack,10000000,3,244.0
SinglyWithTail,PushBack,10000000,4,310.6666666666667
SinglyWithTail,PushBack,100000000,0,1166.3333333333333
SinglyWithTail,PushBack,100000000,1,306.6666666666666
SinglyWithTail,PushBack,100000000,2,310.0
SinglyWithTail,PushBack,100000000,3,322.6666666666666
SinglyWithTail,PushBack,100000000,4,299.6666666666667
MyQueue,Enqueue,10,0,76.0
MyQueue,Enqueue,10,1,57.0
MyQueue,Enqueue,10,2,43.3333333333333
MyQueue,Enqueue,10,3,99.0
MyQueue,Enqueue,10,4,81.3333333333333
MyQueue,Enqueue,100,0,210.66666666666666
MyQueue,Enqueue,100,1,120.33333333333334
MyQueue,Enqueue,100,2,130.66666666666666
MyQueue,Enqueue,100,3,126.33333333333334
MyQueue,Enqueue,100,4,155.0
MyQueue,Enqueue,1000,0,188.66666666666666
MyQueue,Enqueue,1000,1,211.0
MyQueue,Enqueue,1000,2,210.66666666666666
MyQueue,Enqueue,1000,3,166.33333333333334
MyQueue,Enqueue,1000,4,188.66666666666666
MyQueue,Enqueue,10000,0,199.66666666666666
MyQueue,Enqueue,10000,1,188.33333333333334
MyQueue,Enqueue,10000,2,177.33333333333334
MyQueue,Enqueue,10000,3,477.6666666666667
MyQueue,Enqueue,10000,4,244.0
MyQueue,Enqueue,100000,0,99.66666666666667
MyQueue,Enqueue,100000,1,100.0
MyQueue,Enqueue,100000,2,99.66666666666667
MyQueue,Enqueue,100000,3,899.6666666666666
MyQueue,Enqueue,100000,4,44.0
MyQueue,Enqueue,1000000,0,44.0
MyQueue,Enqueue,1000000,1,33.0
MyQueue,Enqueue,1000000,2,33.0
MyQueue,Enqueue,1000000,3,44.0
MyQueue,Enqueue,1000000,4,44.0
MyQueue,Enqueue,10000000,0,22.0
MyQueue,Enqueue,10000000,1,44.0
MyQueue,Enqueue,10000000,2,33.0
MyQueue,Enqueue,10000000,3,66.0
MyQueue,Enqueue,10000000,4,33.0
MyQueue,Enqueue,100000000,0,55.333333333333336
MyQueue,Enqueue,100000000,1,44.0
MyQueue,Enqueue,100000000,2,33.0
MyQueue,Enqueue,100000000,3,55.0
MyQueue,Enqueue,100000000,4,44.0
